2020 January 24

Station,P,Polarity,P arrival,S,S arrival,Amplitude,Time Duration,Type,Freq
CNPS,eP,d,001334.63,eS,001345.10,197,40,L,

BOLP,eP,d,003415.19,eS,003419.56,-835,42,L,

AIQP,eP,,005334.31,,,,,T,

SJMP,eP,c,012932.11,eS,012940.16,908,55,L,

SKMP,eP,d,013216.82,eS,013231.44,,46,L,

BOLP,eP,c,015123.44,eS,015138.80,-585,109,L,
IBZP,eP,d,015124.01,eS,015132.72,3177,56,L,

LUBP,eP,c,015359.14,eS,015404.44,929,23,sL,

MACP,eP,d,021607.40,eS,021613.74,3418,49,L,

CNPS,eP,d,025743.77,eS,025747.76,-127,16,sL,

LUBP,eP,c,041321.85,eS,041329.68,-7937,45,L,

LUBP,eP,c,041410.10,eS,041417.81,-1627,30,L,

LUBP,eP,c,042236.53,eS,042244.34,-2453,31,L,

LUBP,eP,c,045223.82,eS,045231.76,-7363,40,L,
LUBP,eP,c,045256.02,eS,045303.70,,25,sL,

GLSP,eP,d,053706.71,eS,053713.03,-30022,82,L,
LDIP,eP,c,053713.88,eS,053727.53,,82,L,
TSSP,eP,c,053717.29,eS,053729.93,,69,L,
GHBP,eP,c,053735.21,eS,053802.10,,103,L,
BUKP,eP,d,053742.29,,,,,T,

CNOP,eP,d,062849.12,eS,062857.16,21863,66,L,
DACP,eP,d,062858.92,eS,062914.70,,56,L,
GNOP,eP,d,062859.30,eS,062915.54,-1734,57,L,
GUIM,eP,d,062901.17,eS,062914.91,,50,L,
MACP,eP,c,062959.00,eS,063005.38,,32,L,

CNPS,eP,c,063430.57,,,,,T,

SMPP,eP,c,071758.83,,,,,T,
IBZP,eP,c,071759.21,,,,,T,
ABPP,eP,d,071805.91,,,,,T,
LUBP,eP,c,071808.96,,,,,T,
MACP,eP,d,071809.16,,,,,T,
TIRP,eP,c,071811.13,,,,,T,
LBLP,eP,,071812.03,,,,,T,
AIQP,eP,,071817.44,,,,,T,
MECP,eP,,071842.21,,,,,T,
GNOP,eP,d,071842.46,,,,,T,
DACP,eP,c,071845.76,,,,,T,
BTTP,eP,,071849.25,,,,,T,
LSIP,eP,d,071849.45,,,,,T,
GHBP,eP,,071850.06,,,,,T,
BUKP,eP,d,071902.80,,,,,T,

