2020 January 24

Station,P,Polarity,P arrival,S,S arrival,Amplitude,Time Duration,Type,Freq
DDMP,eP,d,081048.25,eS,081106.96,-5740,83,L,

DDMP,eP,,085512.51,eS,085521.76,,64,L,

CICP,eP,d,092158.26,eS,092205.48,-3362,33,L,
PACP,eP,d,092202.76,eS,092215.00,-2779,56,L,

PACP,eP,d,092615.12,eS,092627.96,-5477,81,L,

PACP,eP,c,092817.89,eS,092830.50,-3768,66,L,

DDMP,eP,c,094441.36,eS,094504.23,-8310,254,L,
SKMP,eP,d,094458.88,eS,094534.67,-8689,119,L,
CDOP,eP,d,094502.49,eS,094541.53,,158,L,
LCVP,eP,c,094507.09,eS,094550.27,-3431,160,L,
BUKP,eP,d,094512.44,eS,094600.01,,147,L,
MATI,eP,,094514.38,,,,,T,
BLNP,eP,c,094537.54,eS,094619.61,,163,L,

SJMP,eP,d,103436.95,eS,103440.01,-431,23,sL,

DDMP,eP,c,103718.58,eS,103731.70,,48,L,

LUBP,eP,c,105818.03,eS,105831.62,-2592,37,L,

DDMP,eP,d,110632.27,eS,110648.92,-2764,67,L,

DDMP,eP,d,113908.60,eS,113920.07,,43,L,

OCLP,eP,c,115618.51,eS,115620.48,,22,sL,

MACP,eP,c,115922.93,eS,115930.83,,27,sL,
LUBP,eP,c,115924.24,eS,115934.59,,35,L,

LBLP,eP,c,120340.92,eS,120343.80,5631,34,L,
TIRP,eP,c,120344.49,eS,120350.05,,33,L,

LDIP,eP,c,120657.94,eS,120706.37,,35,L,

MECP,eP,c,123325.39,eS,123336.33,-3247,67,L,
CNPS,eP,c,123327.45,eS,123340.35,635,129,L,
SFCP,eP,d,123335.11,eS,123355.58,-2250,108,L,
TABP,eP,d,123341.53,eS,123405.57,-2282,86,L,

MACP,eP,c,124503.89,eS,124510.11,,25,sL,

SCZP,eP,c,125747.34,,,,125,L,
BOLP,eP,c,125750.99,eS,125800.30,-596,111,L,
ABPP,eP,,125809.63,eS,125820.94,1457,90,L,

DDMP,eP,c,130023.22,eS,130042.20,,93,L,

PACP,eP,c,130140.92,eS,130148.23,-25043,82,L,
SAMP,eP,,130150.63,eS,130204.75,,65,L,

BOAC,eP,d,130504.80,,,,,T,
BOLP,eP,c,130513.22,eS,130526.21,,65,L,

BOLP,eP,d,130604.48,eS,130612.94,,60,L,
PACP,eP,c,130642.97,eS,130650.53,173369,548,L,
ABRA,eP,c,130643.66,eS,130651.80,-14575,302,L,
SAMP,eP,c,130652.38,eS,130706.83,-46615,483,L,
SGCP,eP,c,130652.79,eS,130707.82,-11543,121,L,
CICP,eP,c,130654.27,eS,130711.52,20972,276,L,
PALP,eP,c,130705.89,eS,130731.31,-3018,244,L,
BOLP,eP,c,130709.03,eS,130738.24,-1229,325,L,
CAAP,eP,c,130711.21,eS,130737.44,4804,155,L,
SCZP,eP,c,130718.27,eS,130751.77,-1035,200,L,
IBZP,eP,d,130722.64,eS,130759.18,-3244,328,L,
RTBP,eP,c,130726.78,eS,130807.14,,249,L,
GNQP,eP,c,130728.68,eS,130812.39,2508,327,L,
POLP,eP,d,130731.22,eS,130817.02,-450,181,L,
ABPP,eP,,130735.07,eS,130817.34,,313,L,
TIRP,eP,c,130735.26,eS,130825.80,-1647,368,L,
MACP,eP,c,130737.35,eS,130831.91,,216,L,
LBLP,eP,c,130738.33,eS,130832.30,,223,L,
JCNP,eP,c,130739.76,eS,130829.15,-1643,195,L,
AIQP,eP,,130739.80,eS,130830.14,,294,L,
LUBP,eP,d,130746.49,eS,130843.99,,243,L,
BOAC,eP,c,130753.25,,,,,T,
AUQP,eP,,130756.97,,,,,T,

LBLP,eP,d,131958.43,eS,132004.71,,68,L,
MACP,eP,c,131958.81,eS,132004.45,,39,L,
TIRP,eP,c,132000.64,iS,132008.10,,48,L,
LUBP,eP,c,132004.58,eS,132015.29,-2189,54,L,
ABPP,eP,,132008.53,eS,132022.18,,73,L,
BOAC,eP,c,132024.69,,,,,T,

PACP,eP,c,132155.29,eS,132202.80,-4645,61,L,
ABRA,eP,c,132156.11,eS,132204.60,132,55,L,

BOLP,eP,c,133834.80,eS,133851.60,,90,L,

DDMP,eP,d,133936.98,eS,133950.94,10639,92,L,
MATI,eP,c,133946.61,eS,134011.46,-306,182,L,
BUKP,eP,d,133956.05,,,,,T,
SKMP,eP,c,133956.12,eS,134026.35,2353,83,L,
CDOP,eP,d,133958.75,eS,134024.21,,124,L,
BOLP,eP,d,134005.47,eS,134020.92,,57,L,
PACP,eP,c,134013.90,eS,134021.18,-57903,165,L,
ABRA,eP,c,134014.88,eS,134023.49,3168,231,L,
SAMP,eP,,134023.65,eS,134038.08,-13157,123,L,
SGCP,eP,d,134024.00,eS,134038.69,2134,107,L,
CICP,eP,d,134026.11,eS,134043.09,4668,147,L,
PALP,eP,c,134038.07,eS,134105.10,-836,172,L,
BOLP,eP,c,134042.20,eS,134111.26,-624,163,L,
IBZP,eP,c,134054.24,eS,134135.38,,176,L,

PACP,eP,c,134630.91,eS,134638.36,-28447,73,L,
ABRA,eP,c,134631.88,eS,134640.44,1074,148,L,
SAMP,eP,c,134640.64,eS,134655.23,-4984,101,L,
SGCP,eP,c,134641.18,eS,134655.76,-1226,66,L,
CICP,eP,c,134643.08,,,,,T,
PALP,eP,c,134654.28,eS,134721.56,-354,155,L,
BOLP,eP,c,134657.48,eS,134723.97,,114,L,

LBLP,eP,c,135005.44,eS,135008.41,1730,25,sL,
PAGZ,eP,d,135006.84,eS,135017.76,,36,L,
PACP,eP,c,135027.42,eS,135034.89,-8619,61,L,
ABRA,eP,c,135028.29,eS,135036.83,-369,91,L,
SAMP,eP,d,135037.21,eS,135051.45,1473,64,L,

PICP,eP,d,135214.07,iS,135219.45,-11932,112,L,
BUKP,eP,d,135220.96,eS,135232.68,210,64,L,

ABRA,eP,d,135740.11,,,,,T,
PACP,eP,c,135751.95,eS,135759.34,-4959,52,L,
ABRA,eP,d,135753.13,eS,135800.73,121,53,L,

PACP,eP,c,140843.98,eS,140851.39,-6993,53,L,
ABRA,eP,c,140844.84,eS,140853.31,-158,57,L,
SAMP,eP,d,140853.65,eS,140908.09,-1055,42,L,

SAMP,eP,c,141713.90,eS,141724.17,-1439,37,L,
BOLP,eP,d,141741.31,eS,141747.04,-643,35,L,

LUBP,eP,c,142422.08,eS,142432.67,4284,47,L,
MACP,eP,c,142423.04,eS,142434.88,3040,38,L,
ABPP,eP,,142427.79,eS,142443.59,,77,L,

PACP,eP,c,144756.49,eS,144803.66,-1772,30,L,
ABRA,eP,d,144757.31,eS,144805.72,,35,L,

PACP,eP,c,145353.66,eS,145359.32,-1404,26,sL,

CDOP,eP,d,145858.71,eS,145910.64,-5300,115,L,
MATI,eP,d,145900.76,eS,145913.86,-11590,79,L,
LCVP,eP,d,145908.04,eS,145927.33,-2129,128,L,
BUKP,eP,d,145922.20,,,,,T,

PACP,eP,c,150723.63,eS,150730.95,-7958,57,L,
ABRA,eP,c,150724.52,eS,150732.82,201,56,L,
SAMP,eP,c,150733.31,eS,150747.87,895,42,L,

CDOP,eP,c,151257.20,eS,151303.36,2113,30,L,

PACP,eP,c,151841.42,eS,151848.80,-1722,37,L,
ABRA,eP,d,151841.86,eS,151850.28,-77,53,L,

SJMP,eP,c,160618.40,eS,160625.08,-160,34,L,

MACP,eP,d,163535.76,,,,32,L,

GLSP,iP,c,164403.17,iS,164407.38,13566,50,L,
LDIP,eP,c,164413.90,eS,164425.82,,49,L,

PACP,eP,c,165913.58,eS,165920.79,,33,L,

CAAP,eP,d,170203.50,eS,170206.46,38587,64,L,
GNQP,eP,d,170224.09,eS,170241.90,3538,58,L,
RTBP,eP,c,170225.19,eS,170245.19,-1124,83,L,
ABPP,eP,d,170235.07,eS,170305.94,2647,103,L,
BOLP,eP,c,170238.10,,,,,T,
PACP,eP,c,170240.87,eS,170310.77,,87,L,

DDMP,eP,d,174955.04,eS,175009.44,,58,L,

CICP,eP,d,175855.44,eS,175906.97,3236,47,L,

PACP,eP,c,180239.71,eS,180247.15,3171,59,L,
CNOP,eP,d,180300.81,eS,180308.82,4772,45,L,

CICP,eP,,180643.05,eS,181612.02,,4639,T,
BOLP,eP,d,180644.60,,,,,T,
PACP,eP,c,180644.96,eS,181626.93,,8251,T,
ABRA,eP,d,180645.81,eS,180705.64,,411,L,
SAMP,eP,c,180647.76,eS,181619.26,,8944,T,
SCZP,eP,,180648.20,,,,,T,
IBZP,eP,c,180649.26,eS,181620.27,,8020,T,
PAKP,eP,,180652.96,,,,,T,
ABPP,eP,c,180653.93,eS,181639.91,,5435,T,
RTBP,eP,c,180655.00,eS,181637.38,,9601,T,
MACP,eP,c,180655.70,eS,181640.92,,6955,T,
LUBP,eP,,180656.39,eS,181641.09,,10821,T,
TIRP,eP,c,180657.84,eS,181627.47,,9432,T,
LBLP,eP,c,180658.40,eS,181647.31,,6497,T,
GNQP,eP,c,180658.65,eS,181646.52,,6075,T,
BUSP,eP,c,180702.51,,,,,T,
AIQP,eP,,180702.90,eS,181648.17,,4861,T,
CAAP,eP,d,180703.38,eS,181632.66,3974,5422,T,
JCNP,eP,,180704.95,eS,181658.06,,7676,T,
SJMP,eP,d,180705.28,,,,,T,
BOAC,eP,c,180707.87,,,,,T,
GUIM,eP,c,180716.71,eS,181718.88,,5859,T,
CADP,eP,c,180719.40,eS,181718.08,,4015,T,
CNOP,eP,c,180719.53,eS,181721.47,,5724,T,
CNPS,eP,,180720.48,,,,,T,
GNOP,eP,c,180720.81,eS,181728.82,,9140,T,
MECP,eP,c,180721.53,eS,181727.94,,6700,T,
BTTP,iP,d,180723.31,eS,181736.06,,7408,T,
DACP,eP,,180724.14,eS,181728.56,-5076,8141,T,
SFCP,eP,c,180724.51,eS,181737.54,,9489,T,
TABP,eP,c,180724.80,eS,181732.76,-2187,11415,T,
OCLP,eP,c,180724.95,,,,,T,
LSIP,eP,c,180725.99,eS,181739.86,,8591,T,
GHBP,eP,c,180727.45,eS,181738.66,,7762,T,
MSLP,eP,d,180728.98,,,,1150,L,
PAGZ,eP,c,180729.61,eS,181738.66,,8785,T,
BLNP,eP,c,180731.06,eS,181753.41,,6236,T,
MARP,eP,c,180733.76,eS,181803.14,,5305,T,
TSSP,eP,d,180736.70,eS,181756.76,,6995,T,
BUKP,eP,d,180737.14,,,,327,L,
PICP,eP,c,180737.21,eS,181754.86,,8431,T,
TASP,eP,c,180737.99,eS,181806.27,,9430,T,
LCVP,eP,c,180738.48,eS,181808.78,,8131,T,
SKMP,eP,c,180738.88,eS,181802.30,,9987,T,
CDOP,eP,c,180740.55,eS,181811.32,,5351,T,
DDMP,eP,,180742.38,eS,181816.11,,5047,T,
GLSP,eP,,180749.31,,,,,T,

CNPS,eP,c,184326.70,eS,184333.78,-1124,130,L,

CNPS,eP,d,184537.22,eS,184544.25,,27,sL,

BOLP,eP,c,184849.04,eS,184853.77,,36,L,

CNPS,eP,c,191027.19,eS,191031.10,-592,35,L,

CNPS,eP,c,191754.23,eS,191759.02,-387,25,sL,

MSLP,eP,c,192211.35,eS,192218.76,,50,L,

GLSP,eP,c,193431.00,eS,193435.96,,23,sL,

GLSP,eP,c,194736.34,eS,194740.49,3869,29,sL,

GLSP,eP,c,194939.39,eS,194943.66,,18,sL,

GLSP,eP,d,195209.09,eS,195215.26,,21,sL,

BESP,eP,c,195343.61,eS,195351.05,-1403,90,L,
LDIP,eP,c,195349.69,eS,195402.37,,60,L,
MSLP,eP,d,195357.72,eS,195415.97,14,149,L,
CNPS,eP,c,195400.96,eS,195420.62,210,74,L,
GLSP,eP,c,195401.00,eS,195420.66,,73,L,

ABPP,eP,,204427.22,eS,204440.67,2739,41,L,

LDIP,eP,c,205717.26,eS,205724.61,,34,L,

IBZP,eP,c,210245.94,eS,210259.97,,46,L,
ABPP,eP,,210250.49,eS,210308.45,1765,64,L,

CNPS,eP,d,210632.95,eS,210639.26,1981,65,L,

PACP,eP,c,210908.66,eS,210916.06,322371,321,L,
ABRA,eP,c,210909.69,iS,210918.61,6850,299,L,
SAMP,eP,c,210918.40,eS,210933.00,-46760,431,L,
CICP,eP,c,210920.23,eS,210936.88,15448,241,L,
PALP,eP,d,210932.07,eS,210959.74,-2477,233,L,
BOLP,eP,c,210935.34,eS,211001.82,,259,L,
CAAP,eP,d,210936.83,eS,211004.20,4374,176,L,
SCZP,eP,c,210943.00,eS,211017.41,-571,227,L,
IBZP,eP,d,210946.81,eS,211021.13,2887,412,L,
RTBP,eP,c,210952.87,eS,211035.79,2135,235,L,
GNQP,eP,c,210955.41,eS,211030.06,2693,238,L,
ABPP,eP,d,210957.13,eS,211042.60,3381,218,L,
POLP,eP,c,210958.76,eS,211043.01,-359,141,L,
MACP,eP,c,211002.42,eS,211103.92,,429,L,
TIRP,eP,c,211002.68,eS,211047.89,2258,389,L,
LBLP,eP,d,211005.55,eS,211015.05,,206,L,
AIQP,eP,d,211005.71,eS,211057.56,1884,278,L,
LUBP,eP,d,211015.04,eS,211108.62,,243,L,
SJMP,eP,d,211030.20,eS,193638.87,,,L,

PACP,eP,c,212035.46,eS,212042.72,28061,64,L,
ABRA,eP,c,212036.60,eS,212045.40,330,93,L,
SAMP,eP,d,212045.54,eS,212059.97,2932,50,L,

SCZP,eP,c,212140.01,eS,212146.00,,117,L,
IBZP,eP,d,212142.81,eS,212156.09,2019,91,L,
BOLP,eP,d,212144.16,eS,212155.98,,52,L,

LUBP,eP,d,212802.61,eS,212807.22,1348,31,L,

MACP,eP,c,215636.62,eS,215642.35,1910,31,L,

SCZP,eP,,220237.41,eS,220243.34,444,170,L,
BOLP,eP,d,220239.66,eS,220252.00,-697,177,L,
IBZP,eP,d,220239.89,eS,220253.78,4523,164,L,
ABPP,eP,c,220250.19,eS,220306.93,3772,136,L,
RTBP,eP,c,220256.76,eS,220322.41,906,82,L,
MACP,eP,c,220258.83,,,,106,L,
ABRA,eP,c,220302.41,eS,220333.18,,123,L,

CICP,eP,d,221319.25,eS,221324.38,2968,19,sL,

LSIP,eP,d,222218.47,eS,222229.93,-2690,57,L,

TSSP,eP,c,222622.24,eS,222629.51,,33,L,

BUKP,eP,d,222759.63,eS,222815.41,106,59,L,

PACP,eP,c,230153.21,eS,230200.52,6560,45,L,

PACP,eP,c,230935.90,eS,230943.02,,37,L,

GLSP,eP,c,231303.96,eS,231318.74,,58,L,
TSSP,eP,c,231303.98,eS,231319.00,,45,L,

SJMP,eP,d,232940.92,eS,232945.12,248,25,sL,

MACP,eP,c,233641.00,,,,29,sL,

GHBP,eP,d,233946.29,eS,233949.77,5232,52,L,
TABP,eP,c,233949.53,eS,233955.45,5417,54,L,


Phase-Read by:,,,M.Visayana

Prepared by:

M.Visayana


version 0.3.7
