,,,,
14,2020-01-11,13:22:05,True,
15,2020-01-11,12:26:58,True,
13,2020-01-11,14:05:22,False,
0,2020-01-11,22:47:19,True,
1,2020-01-11,21:25:23,False,
2,2020-01-11,19:23:33,True,
3,2020-01-11,19:16:41,False,
4,2020-01-11,19:16:08,False,
5,2020-01-11,19:06:38,False,
6,2020-01-11,18:33:24,False,
7,2020-01-11,17:36:29,False,
8,2020-01-11,17:27:06,False,
9,2020-01-11,17:25:31,False,
10,2020-01-11,17:12:53,True,
11,2020-01-11,16:16:16,True,
12,2020-01-11,14:26:11,False,
13,2020-01-11,14:05:22,False,
14,2020-01-11,13:22:05,True,
15,2020-01-11,12:26:58,True,
0,2020-01-09,23:42:46,False,
1,2020-01-09,18:51:58,True,
2,2020-01-09,18:11:37,False,
3,2020-01-09,16:59:06,False,
4,2020-01-09,16:40:14,False,
5,2020-01-09,15:03:42,False,
6,2020-01-09,14:33:49,False,
7,2020-01-09,13:49:33,False,
8,2020-01-09,13:20:56,False,
9,2020-01-09,11:48:21,False,
10,2020-01-09,09:17:09,False,
11,2020-01-09,08:35:33,True,
12,2020-01-09,08:09:09,False,
13,2020-01-09,07:56:49,True,
14,2020-01-09,07:35:19,False,
15,2020-01-09,05:59:22,False,
16,2020-01-09,05:25:56,False,
17,2020-01-09,02:48:26,False,
