13,2020-01-11,14:05:22
1,2020-01-11,21:25:23
3,2020-01-11,19:16:41
4,2020-01-11,19:16:08
5,2020-01-11,19:06:38
6,2020-01-11,18:33:24
7,2020-01-11,17:36:29
8,2020-01-11,17:27:06
9,2020-01-11,17:25:31
12,2020-01-11,14:26:11
13,2020-01-11,14:05:22
0,2020-01-09,23:42:46
2,2020-01-09,18:11:37
3,2020-01-09,16:59:06
4,2020-01-09,16:40:14
5,2020-01-09,15:03:42
6,2020-01-09,14:33:49
7,2020-01-09,13:49:33
8,2020-01-09,13:20:56
9,2020-01-09,11:48:21
10,2020-01-09,09:17:09
12,2020-01-09,08:09:09
14,2020-01-09,07:35:19
15,2020-01-09,05:59:22
16,2020-01-09,05:25:56
17,2020-01-09,02:48:26
0,2020-01-08,23:19:02
1,2020-01-08,22:12:47
4,2020-01-08,20:44:09
7,2020-01-08,18:35:24
8,2020-01-08,17:29:30
9,2020-01-08,17:26:34
13,2020-01-08,16:19:15
14,2020-01-08,15:26:47
16,2020-01-08,14:26:00
17,2020-01-08,12:43:45
18,2020-01-08,12:01:21
19,2020-01-08,11:53:01
20,2020-01-08,10:46:14
21,2020-01-08,09:49:38
22,2020-01-08,09:16:38
23,2020-01-08,08:44:48
25,2020-01-08,06:13:03
27,2020-01-08,05:13:27
28,2020-01-08,02:08:15
29,2020-01-08,02:03:06
30,2020-01-08,01:56:46
31,2020-01-08,01:25:48
32,2020-01-08,00:59:09
33,2020-01-08,00:45:30
