2019 December 28,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Station,P,Polarity,P arrival,S,S arrival,Amplitude,    Time Duration,Type,Freq,,,,,,,,,,
KCP,eP,c,132726.73,iS,132732.34,,63.00,L,,,,,,,,,,,
KCP,eP,d,132959.74,iS,133001.63,,72.00,L,,,,,,,,,,,
KCP,eP,d,133107.57,iS,133113.48,,79.00,L,,,,,,,,,,,
KCP,iP,c,135031.05,iS,135039.05,,156.00,L,,,,,,,,,,,
KCP,iP,d,135747.26,iS,135755.50,,104.00,L,,,,,,,,,,,
KCP,iP,c,140620.15,iS,140622.91,,33.00,L,,,,,,,,,,,
KCP,eP,c,140702.69,iS,140704.66,,13.00,L,,,,,,,,,,,
KCP,eP,d,141603.26,iS,141606.06,,180.00,L,,,,,,,,,,,
KCP,iP,d,001453.84,iS,145349.53,,124.00,L,,,,,,,,,,,
KCP,eP,c,162017.56,iS,162024.45,,154.00,L,,,,,,,,,,,
KCP,iP,d,171221.40,iS,181229.48,,103.00,L,,,,,,,,,,,
KCP,eP,c,171428.97,iS,171439.56,,87.00,L,,,,,,,,,,,
KCP,eP,c,182720.72,iS,182724.85,,204.00,L,,,,,,,,,,,
KCP,iP,c,183552.39,iS,183552.93,,2.00,L,,,,,,,,,,,
KCP,iP,c,183634.81,iS,183634.86,,3.00,L,,,,,,,,,,,
KCP,iP,d,184140.25,iS,184148.40,,76.00,L,,,,,,,,,,,
KCP,iP,c,184305.62,iS,184308.70,,94.00,L,,,,,,,,,,,
KCP,iP,c,194406.27,iS,194413.73,,136.00,L,,,,,,,,,,,
KCP,iP,c,203644.68,iS,203650.56,,104.00,L,,,,,,,,,,,
KCP,iP,c,212831.32,iS,212837.49,,121.00,L,,,,,,,,,,,
KCP,iP,c,224148.54,iS,224154.53,,58.00,L,,,,,,,,,,,
KCP,iP,c,233435.95,iS,233448.28,,107.00,L,,,,,,,,,,,
DCP,iP,d,020044.98,iS,020132.92,,251.13,L,,,,,,,,,,,
DCP,iP,d,032748.29,eS,032824.97,,157.09,L,,,,,,,,,,,
DCP,eP,d,080800.33,eS,080831.98,,145.42,L,,,,,,,,,,,
DCP,eP,d,083927.14,,,`,201.97,L,,,,,,,,,,,
CGP,iP,d,015320.17,iS,015344.35,437,109.00,L,,,,,,,,,,,
CGP,iP,d,020030.65,iS,020111.71,826,187.00,L,,,,,,,,,,,
CGP,eP,d,023122.43,eS,033157.34,117,82.00,L,,,,,,,,,,,
CGP,iP,c,032732.53,iS,032755.18,1105,134.00,L,,,,,,,,,,,
CGP,eP,d,062329.49,eS,062353.55,133,74.00,L,,,,,,,,,,,
CGP,eP,d,070431.84,eS,070450.62,261,68.00,L,,,,,,,,,,,
CGP,eP,d,080817.91,eS,080844.08,345,105.00,L,,,,,,,,,,,
CGP,iP,d,083912.36,iS,083957.81,957,178.00,L,,,,,,,,,,,
CGP,eP,d,124848.65,iS,124859.85,1485,67.00,L,,,,,,,,,,,
CGP,eP,c,131036.70,eS,131101.37,119,88.00,L,,,,,,,,,,,
CGP,iP,c,131547.12,eS,131606.69,247,103.00,L,,,,,,,,,,,
CGP,eP,c,182743.69,,,260,,T,,,,,,,,,,,
CGP,eP,c,184206.78,eS,184231.87,126,64.00,L,,,,,,,,,,,
CGP,eP,c,194430.95,eS,194456.45,136,87.00,L,,,,,,,,,,,
CGP,eP,c,203708.78,eS,203732.90,293,114.00,L,,,,,,,,,,,
CGP,eP,c,212858.52,eS,212920.71,357,107.00,L,,,,,,,,,,,
CGP,eP,c,224213.11,eS,224237.64,147,82.00,L,,,,,,,,,,,
CGP,eP,c,230758.74,eS,230822.31,316,72.00,L,,,,,,,,,,,
CGP,eP,d,233456.73,eS,233523.06,134,83.00,L,,,,,,,,,,,
CTB,eP,c,020018.72,iS,020047.95,,300.00,L,,,,,,,,,,,
CTB,iP,c,032722.31,iS,032732.83,,93.00,L,,,,,,,,,,,
CTB,iP,c,080805.91,,,,111.68,L,,,,,,,,,,,
CTB,iP,c,083904.34,,,,170.30,L,,,,,,,,,,,
CTB,iP,c,124848.38,iS,124859.51,,68.12,L,,,,,,,,,,,
CTB,eP,c,131022.76,,,,121.24,L,,,,,,,,,,,
CTB,iP,c,131541.51,iS,131556.84,,79.29,L,,,,,,,,,,,
CTB,eP,c,162026.36,,,,127.27,L,,,,,,,,,,,
CTB,iP,c,181215.50,,,,75.03,L,,,,,,,,,,,
CTB,iP,d,184152.41,,,,89.16,L,,,,,,,,,,,
CTB,iP,d,184326.17,,,,96.38,L,,,,,,,,,,,
CTB,eP,c,194418.05,,,,107.16,L,,,,,,,,,,,
CTB,iP,c,203658.38,,,,114.54,L,,,,,,,,,,,
CTB,iP,c,212845.89,,,,97.66,L,,,,,,,,,,,
ZCP,eP,c,083958.39,eS,084028.67,3191,184.32,L,,,,,,,,,,,
ZCP,iP,c,020040.77,iS,020128.98,11260,213.00,L,,,,,,,,,,,
ZCP,eP,c,182744.56,eS,182916.57,1539,307.82,L,,,,,,,,,,,
GSP,iP,d,15301.27,iS,15311.63,,126,L,,,,,,,,,,,
GSP,iP,d,156218.4,iS,15624.17,,62,L,,,,,,,,,,,
GSP,iP,c,020000.50,iS,020019.26,,189.00,L,,,,,,,,,,,
GSP,iP,c,032715.28,iS,032726.95,,201.00,L,,,,,,,,,,,
GSP,iP,c,032309.43,iS,032319.45,,107.00,L,,,,,,,,,,,
GSP,iP,c,070405.52,iS,070415.05,,103.00,L,,,,,,,,,,,
GSP,iP,c,800754.45,iS,080803.24,,78.00,L,,,,,,,,,,,
GSP,iP,c,083845.23,iS,083910.59,,222.00,L,,,,,,,,,,,
GSP,iP,c,131013.87,iS,131023.40,,116.00,L,,,,,,,,,,,
GSP,iP,c,131541.54,iS,131557.16,,108.00,L,,,,,,,,,,,
GSP,iP,c,135030.93,iS,135038.68,,100.00,L,,,,,,,,,,,
GSP,iP,c,162020.18,iS,162029.01,,160.00,L,,,,,,,,,,,
GSP,iP,c,181222.10,iS,181231.08,,63.00,L,,,,,,,,,,,
GSP,iP,d,182708.85,,,,,T,,,,,,,,,,,
GSP,iP,c,184140.71,iS,184152.38,,93.00,L,,,,,,,,,,,
GSP,iP,d,184314.64,iS,184323.49,,93.00,L,,,,,,,,,,,
GSP,iP,c,194407.80,iS,194416.88,,161.00,L,,,,,,,,,,,
GSP,iP,c,203649.63,iS,203659.99,,147.00,L,,,,,,,,,,,
GSP,iP,c,212841.14,iS,212856.23,,139.00,L,,,,,,,,,,,
GSP,iP,c,224153.59,iS,224203.81,,75.00,L,,,,,,,,,,,
GSP,iP,d,233434.74,iS,233442.96,,95.00,L,,,,,,,,,,,
