2019 October 16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,P,Polarity,P arrival,S,S arrival,Amplitude,    Time Duration,Type,Freq,,,,,,,,,,,,,,,,,
LDIP,eP,c,113800.59,eS,113848.76,-227679,435,L,,,,,,,,,,,,,,,,,,
LLP,eP,c,113801.77,eS,113850.48,105541.9,ML5.6,L,,,,,,,,,,,,,,,,,,
GNOP,eP,c,113804.02,eS,113848.49,252465,555,L,,,,,,,,,,,,,,,,,,
CNOP,eP,c,113804.33,eS,113859.31,-360470,557,L,,,,,,,,,,,,,,,,,,
SFCP,eP,c,113804.82,eS,113850.00,307470,559,L,,,,,,,,,,,,,,,,,,
VKCH,eP,c,113806.75,eS,113909.80,-5977,439,L,,,,,,,,,,,,,,,,,,
OCLP,eP,c,113810.91,eS,113908.52,-7394,416,L,,,,,,,,,,,,,,,,,,
PLP,iP,c,113811.06,eS,113906.10,,428.00,L,,,,,,,,,,,,,,,,,,
CADP,eP,c,113812.23,eS,113917.44,339959,484,L,,,,,,,,,,,,,,,,,,
MECP,eP,c,113812.65,eS,113925.77,170914,435,L,,,,,,,,,,,,,,,,,,
GUIM,eP,c,113813.15,eS,113917.99,173094,419,L,,,,,,,,,,,,,,,,,,
BESP,eP,c,113818.25,eS,113923.73,,318,L,,,,,,,,,,,,,,,,,,
JAP,eP,c,113823.72,,,3457.0,485.71,L,,,,,,,,,,,,,,,,,,
RCP,eP,c,113824.96,,,,,T,,,,,,,,,,,,,,,,,,
BTTP,eP,d,113827.13,eS,113931.71,-48227,284,L,,,,,,,,,,,,,,,,,,
CNPS,eP,d,113832.21,eS,113946.29,4702,334,L,,,,,,,,,,,,,,,,,,
MMP,eP,d,113833.09,iS,113913.91,32125.0,224.00,L,,,,,,,,,,,,,,,,,,
IAPS,eP,d,113833.77,,,,523,L,,,,,,,,,,,,,,,,,,
VBIH,eP,c,113834.14,eS,114015.57,-61236,399,T,,,,,,,,,,,,,,,,,,
OTRP,eP,d,113839.37,,,750,346,L,,,,,,,,,,,,,,,,,,
VMAN,eP,c,113841.28,eS,114009.32,117773,464,T,,,,,,,,,,,,,,,,,,
SJMP,eP,c,113844.45,,,825,385,L,,,,,,,,,,,,,,,,,,
SCSP,eP,c,113846.34,eS,114041.53,84787,321,T,,,,,,,,,,,,,,,,,,
