2019 October 16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,P,Polarity,P arrival,S,S arrival,Amplitude,    Time Duration,Type,Freq,,,,,,,,,,,,,,,,,
CGP,eP,c,122122.90,eS,122152.08,352.00,187.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,122133.67,eS,122159.81,10538.00,160.00,L,,,,,,,,,,,,,,,,,,
DCP,iP,d,122142.15,iS,122219.92,,248.57,L,,,,,,,,,,,,,,,,,,
ZCP,iP,c,122147.79,iS,122224.77,6116.00,293.92,L,,,,,,,,,,,,,,,,,,
SCP,eP,d,122150.68,,,596469.00,263.00,L,,,,,,,,,,,,,,,,,,
SNP,eP,,122156.23,eS,122242.57,1651.0,171.0,L,,,,,,,,,,,,,,,,,,
LLP,eP,,122200.20,eS,122253.57,1370.0,248.63,L,,,,,,,,,,,,,,,,,,
PLP,eP,d,122205.23,eS,122303.51,,241.00,L,,,,,,,,,,,,,,,,,,
RCP,iP,c,122229.40,,,,,T,,,,,,,,,,,,,,,,,,
DMP,eP,c,122404.28,eS,122413.33,2462.00,91.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,122556.63,iS,122600.30,63058.00,61.11,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,122602.84,iS,122611.05,12494.00,87.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,122606.66,iS,122619.22,,92.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,c,122620.19,iS,122641.23,578.00,82.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,d,122624.49,eS,122647.81,,FBAQ,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,122729.17,iS,122734.25,,107.80,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,122734.98,eS,122743.70,2771.00,119.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,d,122739.34,iS,122751.30,,130.00,L,,,,,,,,,,,,,,,,,,
CTB,eP,c,122740.73,iS,122753.33,,121.00,L,,,,,,,,,,,,,,,,,,
CGP,iP,c,122753.81,iS,122816.47,779.00,97.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,122755.70,iS,122823.87,2543.00,126.00,L,,,,,,,,,,,,,,,,,,
LLP,eP,,122827.80,eS,122921.27,168.5,216.57,L,,,,,,,,,,,,,,,,,,
PLP,eP,d,122834.25,eS,122930.91,,160.00,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,122943.46,eS,122953.77,2671.00,71.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,122950.09,iS,123003.44,,106.00,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,123227.55,eS,123232.84,5674.00,85.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,123434.97,iS,123439.04,,95.63,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,123438.78,iS,123448.64,10629.00,134.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,123445.58,iS,123458.04,,131.00,L,,,,,,,,,,,,,,,,,,
CTB,iP,c,123446.12,iS,123458.55,,132.00,L,,,,,,,,,,,,,,,,,,
CGP,iP,c,123459.08,iS,123520.86,1695.00,117.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,d,123503.90,eS,123528.12,2716.00,FBAQ,L,,,,,,,,,,,,,,,,,,
SNP,eP,,123522.34,eS,123613.20,542.0,144.0,L,,,,,,,,,,,,,,,,,,
SCP,eP,d,123523.53,,,192000.00,119.07,L,,,,,,,,,,,,,,,,,,
LLP,eP,,123529.44,iS,123624.56,392.3,218.66,L,,,,,,,,,,,,,,,,,,
PLP,eP,d,123536.51,eS,123630.94,,133.00,L,,,,,,,,,,,,,,,,,,
RCP,iP,c,123557.02,,,,,T,,,,,,,,,,,,,,,,,,
KCP,iP,c,123648.45,iS,123653.56,,183.03,L,,,,,,,,,,,,,,,,,,
GSP,iP,d,123657.12,iS,123708.53,,86.00,L,,,,,,,,,,,,,,,,,,
DMP,iP,d,123658.84,iS,123701.51,10797.00,164.00,L,,,,,,,,,,,,,,,,,,
CTB,eP,,123700.17,iS,123713.13,,164.00,L,,,,,,,,,,,,,,,,,,
CGP,iP,c,123712.84,iS,123734.61,1848.00,128.00,L,,,,,,,,,,,,,,,,,,
BIP,iP,d,123715.56,iS,123743.93,3874.00,132.00,L,,,,,,,,,,,,,,,,,,
KCP,eP,c,124011.09,eS,124014.88,,21.03,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,124016.61,eS,124025.48,4115.00,75.00,L,,,,,,,,,,,,,,,,,,
KCP,eP,d,124204.25,iS,124208.55,,50.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,124217.95,iS,124221.11,,54.75,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,124219.09,eS,124233.16,5452.00,61.00,L,,,,,,,,,,,,,,,,,,
KCP,eP,c,124312.96,iS,124317.74,,19.42,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,124329.24,iS,124307.07,7580.00,146.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,124332.35,iS,124336.60,,56.75,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,124342.61,iS,124354.99,,126.00,L,,,,,,,,,,,,,,,,,,
CTB,eP,d,124343.03,iS,124354.44,,99.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,d,124356.93,eS,124418.26,161.00,78.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,d,124358.28,eS,124431.99,429.00,127.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,124400.74,eS,124426.61,,125.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,124440.53,iS,124444.93,,37.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,124607.01,iS,124610.35,,65.20,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,124608.93,iS,124621.33,3997.00,265.00,sL,,,,,,,,,,,,,,,,,,
KCP,iP,c,124703.40,iS,124706.30,,39.55,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,124714.48,,,1793.00,,sL,,,,,,,,,,,,,,,,,,
KCP,eP,c,124905.99,iS,124909.10,,91.42,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,124911.55,iS,124920.40,1886.00,,sL,,,,,,,,,,,,,,,,,,
KCP,eP,d,124937.68,iS,124940.26,,92.61,L,,,,,,,,,,,,,,,,,,
BIP,eP,d,124941.96,iS,124952.44,2374.00,96.00,L,,,,,,,,,,,,,,,,,,
DMP,1eP,c,124943.36,eS,125002.67,2752.00,71.00,L,,,,,,,,,,,,,,,,,,
SCP,eP,d,124950.75,eS,125008.98,95482.00,53.39,L,,,,,,,,,,,,,,,,,,
PLP,eP,d,125010.33,eS,125043.25,,119.00,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,125153.66,iS,125157.59,232359.00,sL,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,125300.05,iS,125308.93,,63.66,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,125315.17,iS,125325.53,2010.00,56.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,d,125406.59,iS,125410.01,,40.95,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,125413.27,eS,125421.10,1090.00,,sL,,,,,,,,,,,,,,,,,,
KCP,iP,d,125454.19,iS,125458.74,,76.95,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,125508.77,,,,,sL,,,,,,,,,,,,,,,,,,
KCP,iP,d,125615.49,iS,125618.41,,13.40,L,,,,,,,,,,,,,,,,,,
KCP,eP,d,125628.94,iS,125633.03,,51.13,L,,,,,,,,,,,,,,,,,,
DMP,iP,d,125630.54,iS,125641.80,5246.00,64.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,125728.99,iS,125732.59,,62.10,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,125735.36,eS,125744.12,2552.00,82.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,125836.82,iS,125840.21,,58.20,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,125842.71,eS,125851.10,6435.00,130.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,125846.55,iS,125859.49,,128.00,L,,,,,,,,,,,,,,,,,,
CTB,iP,d,125847.06,iS,125857.16,,150.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,d,125900.36,eS,125923.32,362.00,87.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,d,125907.50,eS,125933.06,,120.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,d,130053.89,iS,130056.84,,67.08,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,130101.06,iS,130105.43,,78.60,L,,,,,,,,,,,,,,,,,,
DMP,oP,d,130107.48,iS,130115.60,10379.00,75.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,d,130111.56,iS,130126.21,,149.00,L,,,,,,,,,,,,,,,,,,
CTB,eP,d,130112.01,iS,130124.27,,97.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,d,130127.30,iS,130147.15,794.00,96.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,130129.93,eS,130158.83,1987.00,126.00,L,,,,,,,,,,,,,,,,,,
PLP,eP,c,130204.81,eS,130302.86,,154.00,L,,,,,,,,,,,,,,,,,,
KCP,eP,d,130208.89,iS,130212.42,,35.48,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,130223.99,,,,,sL,,,,,,,,,,,,,,,,,,
KCP,iP,d,130321.75,iS,130325.02,,53.70,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,130417.74,iS,130421.00,,82.68,L,,,,,,,,,,,,,,,,,,
DMP,iP,d,130423.19,iS,130431.55,6768.00,102.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,130427.22,iS,130439.51,,120.00,L,,,,,,,,,,,,,,,,,,
CTB,eP,c,130429.08,iS,130438.86,,63.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,d,130446.16,eS,130511.41,,102.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,130640.94,iS,130644.46,,20.55,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,130646.27,eS,130655.03,1884.00,,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,130701.19,iS,130707.66,,45.56,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,131000.21,iS,131003.67,,58.64,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,131006.57,esS,131055.72,11413.00,94.00,L,,,,,,,,,,,,,,,,,,
CTB,eP,c,131010.81,iS,131021.94,,69.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,131010.87,iS,131022.93,,97.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,131028.89,eS,131054.86,,FBAQ,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,131137.70,iS,131141.15,,92.64,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,131142.67,eS,131152.05,11287.00,126.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,131147.67,,,,139.00,L,,,,,,,,,,,,,,,,,,
CTB,eP,c,131148.80,iS,131158.51,,106.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,131204.77,eS,131231.37,962.00,139.00,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,131407.72,,,,,sL,,,,,,,,,,,,,,,,,,
KCP,iP,c,131459.27,iS,131502.77,,96.56,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,131505.43,eS,131513.96,4885.00,128.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,d,131510.01,iS,131521.87,,112.00,L,,,,,,,,,,,,,,,,,,
CTB,eP,c,131510.05,iS,131519.12,,71.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,131526.96,eS,131553.68,,109.00,L,,,,,,,,,,,,,,,,,,
KCP,eP,c,131717.36,iS,131720.46,,53.52,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,131728.73,iS,131732.48,1331.00,59.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,132136.86,iS,132140.74,,94.60,L,,,,,,,,,,,,,,,,,,
DMP,iP,d,132314.90,iS,132323.40,6526.00,79.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,132452.47,iS,132456.62,,116.67,L,,,,,,,,,,,,,,,,,,
DMP,iP,d,132458.63,iS,132506.65,92789.00,258.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,132502.16,iS,132515.73,,180.00,L,,,,,,,,,,,,,,,,,,
CTB,iP,d,132503.53,iS,132515.99,,164.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,d,132519.36,eS,132546.48,6320.00,163.00,L,,,,,,,,,,,,,,,,,,
DCP,iP,d,132528.10,iS,132610.07,,327.41,L,,,,,,,,,,,,,,,,,,
SCP,eP,d,132532.56,,,316496.00,197.30,L,,,,,,,,,,,,,,,,,,
ZCP,iP,c,132535.76,eS,132610.93,2219.00,125.00,L,,,,,,,,,,,,,,,,,,
TBP,eP,,132538.12,eS,132617.05,1290.0,240.0,L,,,,,,,,,,,,,,,,,,
SNP,eP,,132543.11,eS,132629.34,557.0,159.0,L,,,,,,,,,,,,,,,,,,
LLP,eP,c,132550.34,iS,132643.08,609.9,235.32,L,,,,,,,,,,,,,,,,,,
PLP,eP,c,132555.98,eS,132655.99,,229.00,L,,,,,,,,,,,,,,,,,,
RCP,eP,c,132610.92,,,,,T,,,,,,,,,,,,,,,,,,
DMP,eP,c,132956.00,iS,133004.50,1744.00,50.00,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,133234.90,eS,133241.59,11221.00,77.00,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,133501.06,eS,133514.30,9195.00,176.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,133507.64,iS,133511.20,,56.49,L,,,,,,,,,,,,,,,,,,
GSP,iP,d,133518.49,,,,188.00,L,,,,,,,,,,,,,,,,,,
CTB,iP,d,133518.84,iS,133530.79,,113.00,L,,,,,,,,,,,,,,,,,,
CGP,iP,c,133531.83,iS,133552.57,1431.00,157.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,d,133537.08,iS,133602.74,1953.00,168.00,L,,,,,,,,,,,,,,,,,,
DCP,iP,d,133545.15,iS,133617.27,,161.74,L,,,,,,,,,,,,,,,,,,
TBP,eP,,133556.81,eS,133657.81,1466.0,300.0,L,,,,,,,,,,,,,,,,,,
SCP,eP,c,133559.01,,,85196.00,152.66,L,,,,,,,,,,,,,,,,,,
LLP,eP,,133601.57,eS,133659.42,181.2,237.73,L,,,,,,,,,,,,,,,,,,
PLP,eP,c,133612.16,eS,133710.69,,149.00,L,,,,,,,,,,,,,,,,,,
RCP,iP,c,133629.80,,,,,T,,,,,,,,,,,,,,,,,,
KCP,iP,c,134201.73,iS,134207.26,,165.45,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,134208.45,eS,134216.73,90865.00,104.00,L,,,,,,,,,,,,,,,,,,
GSP,eP,d,134212.54,iS,134225.51,,157.00,L,,,,,,,,,,,,,,,,,,
CTB,iP,d,134214.04,iS,134226.89,,94.00,L,,,,,,,,,,,,,,,,,,
CGP,iP,c,134226.88,iS,134248.80,1436.00,132.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,d,134231.69,eS,134257.01,1791.00,163.00,L,,,,,,,,,,,,,,,,,,
DCP,iP,d,134238.43,iS,134113.22,,185.94,L,,,,,,,,,,,,,,,,,,
ZCP,eP,c,134245.03,eS,134317.94,1245.00,100.00,L,,,,,,,,,,,,,,,,,,
SCP,eP,d,134245.86,,,86980.00,177.89,L,,,,,,,,,,,,,,,,,,
TBP,eP,,134246.97,iS,134339.58,,,sL,,,,,,,,,,,,,,,,,,
SNP,eP,,134250.68,,,,,sL,,,,,,,,,,,,,,,,,,
LLP,eP,,134301.05,eS,134346.45,181.5,182.50,L,,,,,,,,,,,,,,,,,,
PLP,eP,c,134303.36,eS,134402.68,,176.00,L,,,,,,,,,,,,,,,,,,
RCP,eP,c,134324.33,,,,,T,,,,,,,,,,,,,,,,,,
KCP,iP,c,134641.09,iS,134645.08,,98.60,L,,,,,,,,,,,,,,,,,,
KCP,eP,c,134911.50,iS,134916.50,,49.59,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,135133.52,iS,135137.69,,71.50,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,135138.91,eS,135147.03,8000.00,83.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,135144.54,iS,135155.58,,92.00,L,,,,,,,,,,,,,,,,,,
CGP,iP,c,135157.47,iS,135218.65,744.00,89.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,135200.30,eS,135224.98,,109.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,d,135550.83,iS,135554.74,,52.75,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,135624.75,iS,135629.44,,69.50,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,140021.41,iS,140026.19,,34.29,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,140417.66,iS,140421.45,,24.98,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,140758.17,iS,140801.86,,18.90,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,140951.00,iS,140955.09,,68.29,L,,,,,,,,,,,,,,,,,,
GSP,iP,d,141009.11,iS,141021.99,,177.00,L,,,,,,,,,,,,,,,,,,
CTB,eP,d,141010.80,iS,141025.07,,217.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,d,141023.38,eS,141045.60,157.00,113.00,L,,,,,,,,,,,,,,,,,,
DCP,iP,c,141039.39,iS,141116.42,,182.08,L,,,,,,,,,,,,,,,,,,
SCP,eP,d,141049.27,,,52252.00,124.15,L,,,,,,,,,,,,,,,,,,
DMP,iP,d,141101.91,eS,141111.08,2684.00,,sL,,,,,,,,,,,,,,,,,,
TBP,eP,,141101.97,,,,,sL,,,,,,,,,,,,,,,,,,
KCP,iP,c,141209.38,iS,141212.72,,90.27,L,,,,,,,,,,,,,,,,,,
MMP,iP,d,141230.24,iS,141231.88,1.05e5,68.00,L,,,,,,,,,,,,,,,,,,
RCP,eP,c,141250.89,iS,141307.88,,91,L,,,,,,,,,,,,,,,,,,
PLP,eP,c,141258.83,eS,141319.59,,91.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,141526.18,iS,151531.75,,136.34,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,141917.42,iS,141921.13,,58.86,L,,,,,,,,,,,,,,,,,,
KCP,eP,c,142240.37,iS,142243.45,,14.30,L,,,,,,,,,,,,,,,,,,
BIP,eP,d,142313.95,eS,142440.39,,97.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,142346.08,iS,142350.02,,86.20,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,142350.59,iS,142400.15,,128.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,142606.59,iS,140610.83,,8.43,L,,,,,,,,,,,,,,,,,,
GSP,iP,d,142613.87,iS,142907.60,,77.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,142615.17,iS,142619.08,,81.40,L,,,,,,,,,,,,,,,,,,
LQP,eP,d,142839.53,,,,,sL,,,,,,,,,,,,,,,,,,
KCP,iP,c,142844.66,iS,142848.86,,65.00,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,142850.07,eS,142858.00,12851.00,62.00,L,,,,,,,,,,,,,,,,,,
GSP,eP,c,142854.80,iS,122907.60,,128.00,L,,,,,,,,,,,,,,,,,,
CTB,iP,d,142855.71,iS,142908.25,,65.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,d,142909.44,eS,142930.62,413.00,97.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,d,142913.93,eS,142938.14,928.00,115.00,L,,,,,,,,,,,,,,,,,,
DCP,iP,d,142925.59,iS,143003.13,,156.78,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,142950.06,iS,142953.87,,48.53,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,142955.93,,,,,sL,,,,,,,,,,,,,,,,,,
KCP,iP,c,143111.88,iS,143115.95,,78.01,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,143324.30,iS,143327.56,,22.57,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,143347.45,iS,143351.48,,56.37,L,,,,,,,,,,,,,,,,,,
DCP,iP,c,143354.79,,,,,sL,,,,,,,,,,,,,,,,,,
KCP,iP,c,143455.41,iS,143459.23,,33.91,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,143618.47,iS,143621.86,,64.13,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,143622.49,,,,142.03,L,,,,,,,,,,,,,,,,,,
PLP,eP,c,143809.76,eS,143831.42,,100.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,144129.42,iS,144133.63,,92.44,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,144135.86,eS,144144.39,9666.00,255.00,L,,,,,,,,,,,,,,,,,,
GSP,eP,c,144140.13,iS,144153.68,,238.00,L,,,,,,,,,,,,,,,,,,
CTB,iP,d,144140.80,iS,144152.99,,133.00,L,,,,,,,,,,,,,,,,,,
CGP,iP,c,144153.33,iS,144216.00,1119.00,182.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,144157.46,eS,144226.26,4102.00,189.00,L,,,,,,,,,,,,,,,,,,
DCP,iP,c,144210.05,iS,144239.26,,357.73,L,,,,,,,,,,,,,,,,,,
ZCP,eP,c,144213.09,eS,144250.13,1541.00,80.00,L,,,,,,,,,,,,,,,,,,
SCP,eP,c,144215.83,,,197089.00,138.53,L,,,,,,,,,,,,,,,,,,
TBP,eP,,144216.96,eS,144216.43,,,sL,,,,,,,,,,,,,,,,,,
SNP,eP,,144221.18,eS,144306.77,486.0,155.0,L,,,,,,,,,,,,,,,,,,
LLP,eP,,144225.57,iS,144320.07,427.9,234.65,L,,,,,,,,,,,,,,,,,,
PLP,eP,c,144231.35,eS,144333.59,,217.00,L,,,,,,,,,,,,,,,,,,
RCP,eP,c,144250.55,,,,,T,,,,,,,,,,,,,,,,,,
KCP,iP,c,144802.73,iS,144806.96,,45.85,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,144848.92,iS,144853.86,,48.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,145018.83,iS,145023.86,,49.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,145108.59,iS,145112.76,,51.41,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,145114.75,eS,145123.06,3119.00,45.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,145203.20,iS,145206.88,,76.57,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,145208.79,eS,145215.90,16010.00,101.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,145213.24,iS,145224.73,,155.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,d,145227.76,eS,145249.98,263.00,98.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,145322.14,iS,145326.44,,63.78,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,145428.08,iS,145431.89,,19.44,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,150727.81,iS,150731.21,,20.95,L,,,,,,,,,,,,,,,,,,
DMP,iP,d,150732.84,,,,FBAQ,L,,,,,,,,,,,,,,,,,,
CTB,eP,d,150739.52,iS,150753,,124.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,150749.12,iS,150753.56,,40.75,L,,,,,,,,,,,,,,,,,,
DMP,eP,d,151007.41,eS,151018.41,23688.00,FBAQ,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,151012.06,iS,151015.85,,34.15,L,,,,,,,,,,,,,,,,,,
CTB,iP,d,151022.45,iS,151033.88,,168.00,L,,,,,,,,,,,,,,,,,,
CGP,iP,c,151035.31,iS,151056.04,1787.00,167.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,151039.58,eS,151004.89,3588.00,147.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,151046.91,iS,151050.7,,73.03,L,,,,,,,,,,,,,,,,,,
DCP,iP,d,151048.24,iS,151116.87,,203.92,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,151052.82,eS,151102.05,24180.00,115.00,L,,,,,,,,,,,,,,,,,,
ZCP,eP,c,151054.55,eS,151129.05,1281.00,104.00,L,,,,,,,,,,,,,,,,,,
SCP,eP,d,151054.61,,,101800.00,202.00,L,,,,,,,,,,,,,,,,,,
TBP,eP,,151104.70,,,,,sL,,,,,,,,,,,,,,,,,,
PLP,eP,c,151112.52,eS,151215.69,,138.00,L,,,,,,,,,,,,,,,,,,
LLP,eP,,151114.42,iS,151206.74,233.2,202.46,L,,,,,,,,,,,,,,,,,,
RCP,eP,c,151129.98,,,,,T,,,,,,,,,,,,,,,,,,
KCP,iP,c,151408.76,iS,151411.48,,55.32,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,151508.41,iS,151529.18,,53.48,L,,,,,,,,,,,,,,,,,,
PLP,eP,c,151556.73,eS,151629.50,,116.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,151953.27,iS,151957.39,,23.03,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,152015.44,iS,152019.29,,60.20,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,152123.96,iS,152128.37,,70.87,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,152329.33,iS,152333.81,,97.25,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,152448.60,iS,152432.58,,62.50,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,152509.74,eS,152513.83,,54.29,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,152923.25,iS,152927.5,,90.83,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,153532.23,iS,153537.64,,47.57,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,153620.66,iS,153625.02,,143.83,L,,,,,,,,,,,,,,,,,,
CTB,eP,d,153632.18,iS,153644.87,,180.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,d,153645.16,eS,153707.23,227.00,84.00,L,,,,,,,,,,,,,,,,,,
KCP,ep,d,154145.33,iS,154149.36,,62.46,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,154256.61,iS,154301.03,,83.68,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,154313.06,iS,154317.37,,30.98,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,154636.72,iS,154639.76,,65.01,L,,,,,,,,,,,,,,,,,,
KCP,eP,c,154740.24,iS,154745.24,,45.60,L,,,,,,,,,,,,,,,,,,
KCP,eP,c,154803.83,iS,154807.54,,56.75,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,154933.43,iS,154937.39,,84.09,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,155058.61,iS,155102.48,,18.81,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,155218.06,iS,155221.86,,146.23,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,155221.01,eS,155230.81,7519.00,63.00,L,,,,,,,,,,,,,,,,,,
DCP,iP,d,155225.,21,iS,155340.15,,144.60,L,,,,,,,,,,,,,,,,,
CTB,iP,d,155228.80,iS,155240.46,,118.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,d,155242.06,eS,155306.79,226.00,83.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,155247.47,eS,155315.36,,80.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,155447.10,iS,155450.82,,17.95,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,155505.54,iS,155510.19,,51.65,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,155645.43,iS,155649.32,,78.54,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,155725.69,iS,152729.35,,114.57,L,,,,,,,,,,,,,,,,,,
