16.25   122.31  DIGOLLORIN BAY FAULT
16.44   122.39  DIGOLLORIN BAY FAULT
16.55   122.41  DIGOLLORIN BAY FAULT
16.67   122.40  DIGOLLORIN BAY FAULT
16.72   122.41  DIGOLLORIN BAY FAULT
16.15   122.26  DIGOLLORIN BAY FAULT
16.25   122.31  DIGOLLORIN BAY FAULT
16.44   122.39  DIGOLLORIN BAY FAULT
16.55   122.41  DIGOLLORIN BAY FAULT
16.67   122.40  DIGOLLORIN BAY FAULT
16.72   122.41  DIGOLLORIN BAY FAULT
16.81   122.36  DIVILICAN FAULT
16.86   122.37  DIVILICAN FAULT
16.98   122.36  DIVILICAN FAULT
17.17   122.34  DIVILICAN FAULT
17.31   122.26  DIVILICAN FAULT
17.45   122.22  DIVILICAN FAULT
17.52   122.19  DIVILICAN FAULT
17.62   122.19  DIVILICAN FAULT
17.71   122.20  DIVILICAN FAULT
17.81   122.21  DIVILICAN FAULT
17.85   122.22  DIVILICAN FAULT
14.71   124.87  EAST LUZON TRANSFORM FAULT
14.75   124.70  EAST LUZON TRANSFORM FAULT
14.82   124.44  EAST LUZON TRANSFORM FAULT
14.87   124.27  EAST LUZON TRANSFORM FAULT
14.94   124.04  EAST LUZON TRANSFORM FAULT
15.04   123.65  EAST LUZON TRANSFORM FAULT
15.12   123.36  EAST LUZON TRANSFORM FAULT
15.23   123.04  EAST LUZON TRANSFORM FAULT
15.32   122.92  EAST LUZON TRANSFORM FAULT
15.34   122.89  EAST LUZON TRENCH
15.44   122.85  EAST LUZON TRENCH
15.75   122.82  EAST LUZON TRENCH
16.39   123.16  EAST LUZON TRENCH
16.77   123.26  EAST LUZON TRENCH
17.29   123.27  EAST LUZON TRENCH
17.64   123.14  EAST LUZON TRENCH
17.97   123.19  EAST LUZON TRENCH
18.32   123.50  EAST LUZON TRENCH
18.58   123.69  EAST LUZON TRENCH
19.01   123.84  EAST LUZON TRENCH
19.45   123.86  EAST LUZON TRENCH
19.92   123.89  EAST LUZON TRENCH
14.63   121.16  EAST MARIKINA VALLEY FAULT
14.80   121.13  EAST MARIKINA VALLEY FAULT
14.89   121.14  EAST MARIKINA VALLEY FAULT
14.94   121.16  EAST MARIKINA VALLEY FAULT
14.99   121.18  EAST MARIKINA VALLEY FAULT
15.08   121.23  EAST MARIKINA VALLEY FAULT
15.15   121.25  EAST MARIKINA VALLEY FAULT
15.20   121.26  EAST MARIKINA VALLEY FAULT
15.30   121.28  EAST MARIKINA VALLEY FAULT
14.99   120.72  EAST ZAMBALES FAULT
15.25   120.60  EAST ZAMBALES FAULT
15.54   120.43  EAST ZAMBALES FAULT
15.87   120.26  EAST ZAMBALES FAULT
16.01   120.19  EAST ZAMBALES FAULT
09.53   124.10  GUINDULMAN FAULT
09.54   124.20  GUINDULMAN FAULT
09.55   124.22  GUINDULMAN FAULT
09.55   124.25  GUINDULMAN FAULT
09.62   124.32  GUINDULMAN FAULT
09.65   124.37  GUINDULMAN FAULT
09.67   124.39  GUINDULMAN FAULT
09.69   124.41  GUINDULMAN FAULT
09.72   124.44  GUINDULMAN FAULT
09.74   124.46  GUINDULMAN FAULT
09.77   124.51  GUINDULMAN FAULT
14.96   120.72  IBA FAULT
15.06   120.55  IBA FAULT
15.13   120.36  IBA FAULT
15.25   120.14  IBA FAULT
15.32   119.92  IBA FAULT
16.44   121.13  IFUGAO FAULT
16.53   121.18  IFUGAO FAULT
16.63   121.18  IFUGAO FAULT
16.79   121.19  IFUGAO FAULT
16.93   121.18  IFUGAO FAULT
16.94   121.20  IFUGAO FAULT
16.44   121.13  IFUGAO FAULT
16.53   121.18  IFUGAO FAULT
16.63   121.18  IFUGAO FAULT
16.79   121.19  IFUGAO FAULT
16.93   121.18  IFUGAO FAULT
16.94   121.20  IFUGAO FAULT
17.05   121.21  IFUGAO FAULT
17.10   121.23  IFUGAO FAULT
17.24   121.28  IFUGAO FAULT
17.41   121.35  IFUGAO FAULT
17.52   121.40  IFUGAO FAULT
17.62   121.45  IFUGAO FAULT
17.69   121.47  IFUGAO FAULT
17.71   121.49  IFUGAO FAULT
17.76   121.52  IFUGAO FAULT
07.81   124.00  LANAO FAULT
07.88   124.03  LANAO FAULT
07.93   124.05  LANAO FAULT
07.96   124.07  LANAO FAULT
08.01   124.08  LANAO FAULT
08.03   124.10  LANAO FAULT
08.05   124.13  LANAO FAULT
08.01   124.08  LANAO FAULT
08.03   124.10  LANAO FAULT
08.05   124.13  LANAO FAULT
07.11   125.62  LIBUGANON RIVER FAULT
07.35   125.53  LIBUGANON RIVER FAULT
07.59   125.43  LIBUGANON RIVER FAULT
07.93   125.40  LIBUGANON RIVER FAULT
08.10   125.36  LIBUGANON RIVER FAULT
08.20   125.24  LIBUGANON RIVER FAULT
08.10   125.36  LIBUGANON RIVER FAULT
08.20   125.24  LIBUGANON RIVER FAULT
09.62   124.03  LOBOC FAULT
09.65   124.08  LOBOC FAULT
09.66   124.20  LOBOC FAULT
09.67   124.27  LOBOC FAULT
09.72   124.32  LOBOC FAULT
09.77   124.34  LOBOC FAULT
14.75   121.05  LOWER NE TRENDING MVF
14.80   121.11  LOWER NE TRENDING MVF
13.58   121.49  LUBANG FAULT
13.56   121.32  LUBANG FAULT
13.57   121.08  LUBANG FAULT
13.58   120.84  LUBANG FAULT
13.63   120.55  LUBANG FAULT
13.68   120.36  LUBANG FAULT
13.75   120.16  LUBANG FAULT
13.80   120.02  LUBANG FAULT
13.58   121.49  LUBANG FAULT
13.56   121.32  LUBANG FAULT
13.57   121.08  LUBANG FAULT
13.58   120.84  LUBANG FAULT
13.63   120.55  LUBANG FAULT
13.68   120.36  LUBANG FAULT
13.75   120.16  LUBANG FAULT
13.80   120.02  LUBANG FAULT
12.60   120.86  MANILA TRENCH
12.86   120.46  MANILA TRENCH
13.08   120.12  MANILA TRENCH
13.37   119.83  MANILA TRENCH
13.73   119.51  MANILA TRENCH
12.60   120.86  MANILA TRENCH
12.86   120.46  MANILA TRENCH
13.08   120.12  MANILA TRENCH
13.37   119.83  MANILA TRENCH
13.73   119.51  MANILA TRENCH
14.13   119.27  MANILA TRENCH
14.63   119.13  MANILA TRENCH
15.27   119.13  MANILA TRENCH
15.65   119.17  MANILA TRENCH
16.10   119.20  MANILA TRENCH
16.58   119.17  MANILA TRENCH
16.91   119.01  MANILA TRENCH
16.10   119.20  MANILA TRENCH
16.58   119.17  MANILA TRENCH
16.91   119.01  MANILA TRENCH
17.24   119.05  MANILA TRENCH
17.59   119.05  MANILA TRENCH
17.83   119.01  MANILA TRENCH
18.02   118.98  MANILA TRENCH
18.35   119.15  MANILA TRENCH
18.96   119.56  MANILA TRENCH
19.29   119.83  MANILA TRENCH
19.66   120.16  MANILA TRENCH
19.87   120.33  MANILA TRENCH
20.08   120.38  MANILA TRENCH
20.39   120.38  MANILA TRENCH
20.69   120.29  MANILA TRENCH
20.88   120.21  MANILA TRENCH
