2020 January 03

Station,P,Polarity,P arrival,S,S arrival,Amplitude,Time Duration,Type,Freq
PAGZ,eP,d,154817.08,,,,,T,
BTTP,eP,c,154834.60,,,,,T,

LUBP,eP,c,155156.34,eS,155204.94,-17984,52,L,
MACP,eP,d,155157.88,eS,155208.66,7522,43,L,
ABPP,eP,c,155201.68,eS,155214.96,6516,54,L,
LBLP,eP,c,155201.72,eS,155214.09,-1853,52,L,
TIRP,eP,d,155202.31,eS,155216.02,-1415,47,L,
RTBP,eP,c,155205.87,eS,155222.79,-1774,61,L,
SJMP,eP,d,155210.92,eS,155230.52,-455,58,L,
BUSP,iP,c,155213.85,eS,155236.22,-302,71,L,

BTTP,eP,d,155650.30,,,,,T,

BTTP,eP,c,155818.37,,,,,T,

BTTP,eP,d,160524.84,,,,,T,

BTTP,eP,c,160744.18,,,,,T,

BTTP,eP,d,161302.32,,,,,T,

PACP,eP,c,161419.53,iS,161421.49,67026,44,L,

DDMP,eP,d,161514.87,eS,161528.01,-4581,64,L,
PICP,eP,d,161517.33,eS,161527.20,2212,97,L,
BUKP,eP,d,161526.52,eS,161545.30,317,97,L,

DDMP,eP,d,161653.91,eS,161705.05,6338,56,L,
PICP,eP,d,161654.16,eS,161704.90,2210,102,L,
BUKP,eP,d,161703.86,eS,161722.66,-243,92,L,

BTTP,eP,d,163256.11,,,,,T,

BTTP,eP,d,163924.22,,,,,T,

BTTP,eP,d,164611.64,,,,,T,

PICP,eP,d,165214.84,eS,165224.22,-1037,69,L,

BTTP,eP,c,165424.76,,,,,T,

BTTP,eP,c,171102.24,,,,,T,

SAMP,eP,d,171214.30,eS,171230.01,2336,46,L,
PACP,eP,c,171214.36,eS,171229.10,-1722,65,L,

CICP,eP,d,171528.00,eS,171534.35,,30,L,
PACP,eP,d,171532.69,eS,171543.21,,40,L,

BTTP,eP,c,172057.07,,,,,T,

BTTP,eP,c,173353.26,,,,,T,

CICP,eP,d,174640.93,eS,174643.32,,13,sL,
BTTP,eP,c,174707.40,,,,,T,

PALP,eP,d,175009.37,eS,172548.97,,,L,

PALP,eP,,175301.35,,,,,T,
PICP,eP,d,175344.52,eS,175351.23,3551,147,L,
BUKP,eP,d,175354.68,eS,175410.13,117,67,L,

CNPS,eP,d,180049.83,eS,180058.98,,38,L,

PAGZ,eP,c,185057.29,eS,185105.26,1832,36,L,

LUBP,eP,c,190816.85,eS,190820.52,5813,25,sL,

BUKP,eP,d,192725.52,eS,192743.75,,129,L,

PICP,iP,d,200630.63,eS,200636.29,-2778,54,L,

GLSP,eP,c,202622.19,eS,202631.34,,32,L,

GNOP,eP,c,202728.65,,,,,T,

DDMP,eP,c,204458.05,eS,204505.43,-318777,141,L,
PICP,eP,d,204514.34,eS,204533.45,2474,156,L,
CDOP,eP,c,204520.56,eS,204545.31,4240,129,L,
BUKP,eP,d,204522.65,eS,204549.60,-325,156,L,
GLSP,eP,c,204546.89,,,,,T,
GHBP,eP,c,204549.50,,,,,T,
MSLP,eP,d,204553.38,eS,204640.57,,180,L,

LUBP,eP,d,210151.50,eS,210154.43,1515,23,sL,

PICP,eP,d,211557.24,iS,211606.12,4366,58,L,
BUKP,eP,d,211606.88,eS,211623.29,266,89,L,

CICP,eP,d,213329.58,eS,213336.13,-20278,78,L,
PACP,eP,d,213335.37,eS,213346.66,5307,67,L,

PACP,eP,d,215439.09,eS,215448.32,3540,35,L,

BTTP,eP,c,221436.65,,,,,T,

PICP,eP,d,222307.43,eS,222314.35,,62,L,
BUKP,eP,d,222317.77,eS,222334.07,74,65,L,

LUBP,eP,d,222805.28,eS,222808.94,-2983,17,sL,

PICP,eP,d,223231.08,eS,223238.62,,90,L,
BUKP,eP,c,223237.47,eS,223256.94,123,67,L,

CNPS,eP,d,225350.99,,,,,T,
GLSP,eP,c,225406.91,eS,225411.60,,21,sL,

LUBP,eP,,225515.45,eS,225520.81,1444,20,sL,

MECP,eP,d,225851.06,eS,225900.29,,27,sL,

BTTP,eP,c,230111.66,,,,,T,

OTRP,eP,d,230646.75,eS,230712.64,,62,L,

SFCP,eP,d,232227.03,,,,,T,

DDMP,eP,c,233636.01,eS,233655.81,43793,156,L,
MATI,eP,d,233646.67,eS,233717.21,-15766,113,L,
PICP,iP,c,233653.24,eS,233727.78,2853,219,L,
CDOP,eP,d,233658.92,eS,233735.64,-6117,192,L,
BUKP,eP,d,233702.01,eS,233741.39,-447,217,L,
CICP,eP,d,233705.61,eS,233712.44,4625,50,L,
TASP,eP,c,233709.00,eS,233757.77,6075,185,L,
PACP,eP,c,233709.35,eS,233719.32,3937,48,L,
BLNP,eP,d,233711.57,,,,,T,
PAGZ,eP,c,233711.86,,,,133,L,
LSIP,eP,d,233725.54,,,,,T,
GLSP,eP,c,233725.97,eS,233822.30,,137,L,
GHBP,eP,d,233727.43,,,,130,L,
MSLP,eP,c,233732.11,,,,,T,
BTTP,eP,c,233740.50,,,,,T,

OTRP,eP,c,233845.25,eS,233852.45,,20,sL,
BTTP,eP,c,233848.94,,,,,T,

BTTP,eP,d,235230.22,,,,,T,


Phase-Read by:,,,M.Visayana

Prepared by:

M.Visayana


version 0.3.7
